NUM_POSTE;NOM_USUEL;AAAAMMJJ;RR
75114001;PARIS-MONTSOURIS;20190502;3.0
75114001;PARIS-MONTSOURIS;20190503;7.2
75114001;PARIS-MONTSOURIS;20190504;5.2
75114001;PARIS-MONTSOURIS;20190505;0.8
75114001;PARIS-MONTSOURIS;20190506;0.0
75114001;PARIS-MONTSOURIS;20190507;2.4
75114001;PARIS-MONTSOURIS;20190508;12.4
75114001;PARIS-MONTSOURIS;20190509;1.0
75114001;PARIS-MONTSOURIS;20190510;43.8
75114001;PARIS-MONTSOURIS;20190511;11.5
75114001;PARIS-MONTSOURIS;20190512;0.0
75114001;PARIS-MONTSOURIS;20190513;0.0
75114001;PARIS-MONTSOURIS;20190514;0.0
75114001;PARIS-MONTSOURIS;20190515;0.0
75114001;PARIS-MONTSOURIS;20190516;0.0
75114001;PARIS-MONTSOURIS;20190517;0.6
75114001;PARIS-MONTSOURIS;20190518;17.3
75114001;PARIS-MONTSOURIS;20190519;0.2
75114001;PARIS-MONTSOURIS;20190520;0.2
75114001;PARIS-MONTSOURIS;20190521;0.0
75114001;PARIS-MONTSOURIS;20190522;0.0
75114001;PARIS-MONTSOURIS;20190523;0.0
75114001;PARIS-MONTSOURIS;20190524;0.0
75114001;PARIS-MONTSOURIS;20190525;1.0
75114001;PARIS-MONTSOURIS;20190526;0.0
75114001;PARIS-MONTSOURIS;20190527;0.0
75114001;PARIS-MONTSOURIS;20190528;0.2
75114001;PARIS-MONTSOURIS;20190529;0.0
75114001;PARIS-MONTSOURIS;20190530;0.0
75114001;PARIS-MONTSOURIS;20190531;0.0
75114001;PARIS-MONTSOURIS;20190601;0.0
75114001;PARIS-MONTSOURIS;20190602;0.0
75114001;PARIS-MONTSOURIS;20190603;1.0
75114001;PARIS-MONTSOURIS;20190604;4.5
75114001;PARIS-MONTSOURIS;20190605;17.5
75114001;PARIS-MONTSOURIS;20190606;0.2
75114001;PARIS-MONTSOURIS;20190607;1.4
75114001;PARIS-MONTSOURIS;20190608;0.4
75114001;PARIS-MONTSOURIS;20190609;0.2
75114001;PARIS-MONTSOURIS;20190610;0.0
75114001;PARIS-MONTSOURIS;20190611;2.8
75114001;PARIS-MONTSOURIS;20190612;2.8
75114001;PARIS-MONTSOURIS;20190613;5.7
75114001;PARIS-MONTSOURIS;20190614;8.3
75114001;PARIS-MONTSOURIS;20190615;0.0
75114001;PARIS-MONTSOURIS;20190616;0.0
75114001;PARIS-MONTSOURIS;20190617;0.0
75114001;PARIS-MONTSOURIS;20190618;0.0
75114001;PARIS-MONTSOURIS;20190619;4.8
75114001;PARIS-MONTSOURIS;20190620;1.2
75114001;PARIS-MONTSOURIS;20190621;0.0
75114001;PARIS-MONTSOURIS;20190622;0.0
75114001;PARIS-MONTSOURIS;20190623;0.0
75114001;PARIS-MONTSOURIS;20190624;0.0
75114001;PARIS-MONTSOURIS;20190625;0.0
75114001;PARIS-MONTSOURIS;20190626;0.0
75114001;PARIS-MONTSOURIS;20190627;0.0
75114001;PARIS-MONTSOURIS;20190628;0.0
75114001;PARIS-MONTSOURIS;20190629;0.0
75114001;PARIS-MONTSOURIS;20190630;0.0
75114001;PARIS-MONTSOURIS;20190701;0.0
75114001;PARIS-MONTSOURIS;20190702;0.0
75114001;PARIS-MONTSOURIS;20190703;0.0
75114001;PARIS-MONTSOURIS;20190704;0.0
75114001;PARIS-MONTSOURIS;20190705;0.0
75114001;PARIS-MONTSOURIS;20190706;0.0
75114001;PARIS-MONTSOURIS;20190707;0.0
75114001;PARIS-MONTSOURIS;20190708;0.0
75114001;PARIS-MONTSOURIS;20190709;0.0
75114001;PARIS-MONTSOURIS;20190710;0.0
75114001;PARIS-MONTSOURIS;20190711;0.0
75114001;PARIS-MONTSOURIS;20190712;0.0
75114001;PARIS-MONTSOURIS;20190713;0.0
75114001;PARIS-MONTSOURIS;20190714;0.0
75114001;PARIS-MONTSOURIS;20190715;0.0
75114001;PARIS-MONTSOURIS;20190716;0.0
75114001;PARIS-MONTSOURIS;20190717;0.0
75114001;PARIS-MONTSOURIS;20190718;0.6
75114001;PARIS-MONTSOURIS;20190719;0.0
75114001;PARIS-MONTSOURIS;20190720;5.5
75114001;PARIS-MONTSOURIS;20190721;0.0
75114001;PARIS-MONTSOURIS;20190722;0.0
75114001;PARIS-MONTSOURIS;20190723;0.0
75114001;PARIS-MONTSOURIS;20190724;0.0
75114001;PARIS-MONTSOURIS;20190725;0.0
75114001;PARIS-MONTSOURIS;20190726;12.8
75114001;PARIS-MONTSOURIS;20190727;0.8
75114001;PARIS-MONTSOURIS;20190728;0.0
75114001;PARIS-MONTSOURIS;20190729;0.0
75114001;PARIS-MONTSOURIS;20190730;0.0
75114001;PARIS-MONTSOURIS;20190731;0.0
75114001;PARIS-MONTSOURIS;20190801;0.0
75114001;PARIS-MONTSOURIS;20190802;0.0
75114001;PARIS-MONTSOURIS;20190803;0.0
75114001;PARIS-MONTSOURIS;20190804;0.0
75114001;PARIS-MONTSOURIS;20190805;0.0
75114001;PARIS-MONTSOURIS;20190806;19.3
75114001;PARIS-MONTSOURIS;20190807;0.0
75114001;PARIS-MONTSOURIS;20190808;0.0
75114001;PARIS-MONTSOURIS;20190809;31.3
75114001;PARIS-MONTSOURIS;20190810;0.0
75114001;PARIS-MONTSOURIS;20190811;0.0
75114001;PARIS-MONTSOURIS;20190812;5.9
75114001;PARIS-MONTSOURIS;20190813;0.0
75114001;PARIS-MONTSOURIS;20190814;0.0
75114001;PARIS-MONTSOURIS;20190815;0.0
75114001;PARIS-MONTSOURIS;20190816;0.2
75114001;PARIS-MONTSOURIS;20190817;14.9
75114001;PARIS-MONTSOURIS;20190818;1.6
75114001;PARIS-MONTSOURIS;20190819;0.0
75114001;PARIS-MONTSOURIS;20190820;0.0
75114001;PARIS-MONTSOURIS;20190821;0.0
75114001;PARIS-MONTSOURIS;20190822;0.0
75114001;PARIS-MONTSOURIS;20190823;0.0
75114001;PARIS-MONTSOURIS;20190824;0.0
75114001;PARIS-MONTSOURIS;20190825;0.0
75114001;PARIS-MONTSOURIS;20190826;0.0
75114001;PARIS-MONTSOURIS;20190827;0.0
75114001;PARIS-MONTSOURIS;20190828;0.0
75114001;PARIS-MONTSOURIS;20190829;0.0
75114001;PARIS-MONTSOURIS;20190830;0.0
75114001;PARIS-MONTSOURIS;20190831;0.0
75114001;PARIS-MONTSOURIS;20190901;0.0
75114001;PARIS-MONTSOURIS;20190902;0.0
75114001;PARIS-MONTSOURIS;20190903;0.0
75114001;PARIS-MONTSOURIS;20190904;0.0
75114001;PARIS-MONTSOURIS;20190905;0.0
75114001;PARIS-MONTSOURIS;20190906;0.0
75114001;PARIS-MONTSOURIS;20190907;0.0
75114001;PARIS-MONTSOURIS;20190908;0.0
75114001;PARIS-MONTSOURIS;20190909;0.0
75114001;PARIS-MONTSOURIS;20190910;0.0
75114001;PARIS-MONTSOURIS;20190911;0.0
75114001;PARIS-MONTSOURIS;20190912;0.0
75114001;PARIS-MONTSOURIS;20190913;0.0
75114001;PARIS-MONTSOURIS;20190914;0.0
75114001;PARIS-MONTSOURIS;20190915;0.0
75114001;PARIS-MONTSOURIS;20190916;0.0
75114001;PARIS-MONTSOURIS;20190917;0.0
75114001;PARIS-MONTSOURIS;20190918;0.0
75114001;PARIS-MONTSOURIS;20190919;0.0
75114001;PARIS-MONTSOURIS;20190920;0.0
75114001;PARIS-MONTSOURIS;20190921;0.0
75114001;PARIS-MONTSOURIS;20190922;8.1
75114001;PARIS-MONTSOURIS;20190923;0.0
75114001;PARIS-MONTSOURIS;20190924;4.6
75114001;PARIS-MONTSOURIS;20190925;1.6
75114001;PARIS-MONTSOURIS;20190926;6.1
75114001;PARIS-MONTSOURIS;20190927;1.2
75114001;PARIS-MONTSOURIS;20190928;0.0
75114001;PARIS-MONTSOURIS;20190929;4.0
75114001;PARIS-MONTSOURIS;20190930;0.0
75114001;PARIS-MONTSOURIS;20191001;5.2
75114001;PARIS-MONTSOURIS;20191002;0.0
75114001;PARIS-MONTSOURIS;20191003;1.0
75114001;PARIS-MONTSOURIS;20191004;0.2
75114001;PARIS-MONTSOURIS;20191005;4.2
75114001;PARIS-MONTSOURIS;20191006;1.6
75114001;PARIS-MONTSOURIS;20191007;4.2
75114001;PARIS-MONTSOURIS;20191008;5.6
75114001;PARIS-MONTSOURIS;20191009;4.2
75114001;PARIS-MONTSOURIS;20191010;0.2
75114001;PARIS-MONTSOURIS;20191011;0.0
75114001;PARIS-MONTSOURIS;20191012;0.0
75114001;PARIS-MONTSOURIS;20191013;0.2
75114001;PARIS-MONTSOURIS;20191014;3.0
75114001;PARIS-MONTSOURIS;20191015;1.4
75114001;PARIS-MONTSOURIS;20191016;4.0
75114001;PARIS-MONTSOURIS;20191017;3.6
75114001;PARIS-MONTSOURIS;20191018;0.8
75114001;PARIS-MONTSOURIS;20191019;4.2
75114001;PARIS-MONTSOURIS;20191020;11.2
75114001;PARIS-MONTSOURIS;20191021;0.0
75114001;PARIS-MONTSOURIS;20191022;0.0
75114001;PARIS-MONTSOURIS;20191023;0.4
75114001;PARIS-MONTSOURIS;20191024;0.2
75114001;PARIS-MONTSOURIS;20191025;0.2
75114001;PARIS-MONTSOURIS;20191026;2.6
75114001;PARIS-MONTSOURIS;20191027;7.5
75114001;PARIS-MONTSOURIS;20191028;0.2
75114001;PARIS-MONTSOURIS;20191029;0.6
75114001;PARIS-MONTSOURIS;20191030;0.2
75114001;PARIS-MONTSOURIS;20191031;2.8
75114001;PARIS-MONTSOURIS;20191101;6.5
75114001;PARIS-MONTSOURIS;20191102;2.4
75114001;PARIS-MONTSOURIS;20191103;6.6
75114001;PARIS-MONTSOURIS;20191104;0.0
75114001;PARIS-MONTSOURIS;20191105;0.2
75114001;PARIS-MONTSOURIS;20191106;6.9
75114001;PARIS-MONTSOURIS;20191107;0.4
75114001;PARIS-MONTSOURIS;20191108;0.0
75114001;PARIS-MONTSOURIS;20191109;1.8
75114001;PARIS-MONTSOURIS;20191110;0.6
75114001;PARIS-MONTSOURIS;20191111;2.6
75114001;PARIS-MONTSOURIS;20191112;6.4
